Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
2024/02/08,"7 (28,596,970)","2 (10,479,567)","1 (5,035,681)","2 (1,798,738)","1 (2,342,179)","2 (1,584,096)","1 (727,931)","51 (942,226)","17 (545,328)","3 (373,952)","2 (326,106)","10 (361,918)","18 (262,307)","33 (140,723)","29 (121,688)","76 (104,910)","25 (108,084)","55 (30,807)","42 (14,785)","177 (61,136)","80 (13,183)","152 (14,303)","59 (7,419)","99 (9,606)","143 (6,358)",--
2024/02/15,"6 (28,608,645)","2 (11,205,319)","1 (4,954,736)","2 (1,848,517)","1 (2,252,003)","1 (1,394,439)","1 (743,451)","66 (852,503)","24 (476,667)","6 (358,845)","3 (317,264)","11 (332,442)","21 (245,374)","34 (138,676)","41 (111,925)","80 (101,276)","33 (104,345)","65 (28,987)","58 (13,920)","174 (52,715)","97 (12,552)","158 (14,661)","66 (6,910)","115 (9,398)","147 (6,707)",--
2024/02/22,"9 (27,068,008)","4 (10,079,962)","1 (4,681,206)","3 (1,684,601)","3 (2,127,718)","1 (1,454,058)","1 (657,014)","44 (995,357)","21 (478,255)","3 (383,388)","4 (307,139)","16 (311,293)","21 (251,131)","38 (134,450)","29 (127,844)","85 (109,987)","24 (114,412)","64 (29,175)","65 (12,885)",--,"100 (12,574)","186 (13,122)","57 (7,421)","147 (8,571)","153 (6,576)",--
2024/02/29,"9 (27,791,888)","4 (10,358,583)","1 (4,627,049)","4 (1,783,038)","4 (2,096,272)","2 (1,547,659)","2 (640,276)","39 (1,100,595)","16 (500,010)","4 (411,244)","4 (298,198)","17 (313,695)","20 (268,689)","40 (136,327)","23 (140,801)","69 (119,758)","29 (113,425)","56 (29,856)","52 (13,086)",--,"75 (13,804)","136 (14,667)","51 (8,131)","108 (9,120)","153 (6,932)",--
2024/03/07,"11 (26,463,313)","5 (9,622,599)","1 (4,375,433)","4 (1,636,350)","3 (2,043,340)","4 (1,488,932)","2 (596,926)","40 (1,070,655)","40 (424,935)","7 (379,336)","6 (281,681)","20 (294,391)","20 (258,176)","44 (133,298)","27 (132,863)","68 (125,147)","30 (109,841)","50 (31,103)","52 (12,946)",--,"67 (14,323)","111 (16,056)","47 (8,421)","105 (9,308)","154 (6,987)",--
2024/03/14,"17 (24,267,687)","13 (8,688,822)","1 (3,981,349)","5 (1,548,634)","4 (1,942,329)","4 (1,375,592)","1 (555,164)","48 (983,700)","49 (368,448)","8 (364,761)","7 (274,340)","23 (275,793)","20 (240,938)","48 (126,554)","36 (123,212)","82 (119,458)","35 (103,936)","64 (25,955)","59 (12,050)",--,"94 (13,058)","158 (14,068)","54 (7,994)","150 (8,558)","189 (6,577)",--
2024/03/21,"12 (24,225,119)","6 (8,605,645)","1 (3,894,273)","5 (1,537,272)","4 (1,951,846)","6 (1,330,019)","2 (532,198)","52 (983,464)","46 (374,254)","8 (367,638)","5 (275,089)","19 (290,706)","20 (245,709)","52 (125,990)","29 (126,975)","66 (124,259)","34 (103,775)","43 (27,804)","56 (11,998)",--,"78 (13,740)","134 (15,036)","48 (8,371)","103 (9,252)","164 (7,218)",--
2024/03/28,"15 (24,060,041)","13 (8,469,669)","2 (3,883,320)","8 (1,622,420)","4 (1,952,731)","5 (1,255,714)","2 (558,199)","51 (994,438)","49 (371,567)","8 (343,823)","7 (267,430)","23 (271,441)","28 (234,544)","68 (121,734)","35 (130,888)","74 (116,997)","38 (102,602)","48 (27,484)","68 (12,019)",--,"87 (13,836)","144 (15,119)","51 (8,959)","107 (9,556)","157 (7,333)",--
2024/04/04,"16 (22,291,718)","14 (8,051,632)","3 (3,474,562)","4 (1,644,752)","4 (1,797,571)","8 (1,170,421)","3 (507,079)","52 (895,789)","52 (308,489)","9 (302,528)","9 (244,151)","27 (233,822)","26 (207,384)","65 (115,120)","35 (114,526)","84 (103,516)","39 (95,482)","54 (23,673)","61 (10,452)",--,"125 (12,327)","169 (13,834)","52 (7,536)","137 (8,519)","154 (7,499)",--
2024/04/11,"15 (23,902,124)","10 (8,918,480)","4 (3,442,331)","4 (1,878,419)","5 (1,846,688)","10 (1,193,912)","2 (505,668)","61 (933,672)","47 (325,621)","10 (324,784)","7 (262,794)","27 (269,881)","30 (223,532)","66 (120,855)","33 (124,900)","71 (119,262)","42 (100,031)","62 (22,423)","53 (12,530)",--,"86 (13,693)","142 (15,239)","49 (8,162)","119 (9,257)","129 (7,979)","199 (21,279)"
2024/04/18,"14 (23,881,825)","8 (9,040,805)","3 (3,369,079)","3 (1,892,548)","4 (1,843,356)","10 (1,153,208)","2 (512,271)","70 (907,612)","45 (333,103)","12 (319,944)","7 (268,397)","29 (278,269)","32 (220,716)","57 (121,433)","33 (128,243)","80 (117,127)","47 (97,315)","60 (23,569)","53 (12,064)","198 (56,504)","89 (13,512)","144 (14,845)","48 (8,612)","125 (8,799)","130 (7,767)",--
2024/04/25,"43 (21,229,247)","46 (7,906,991)","14 (3,135,079)","23 (1,629,094)","20 (1,693,068)","16 (1,027,644)","10 (474,888)","104 (780,968)","64 (300,163)","17 (298,366)","24 (234,416)","45 (237,374)","48 (195,013)","78 (116,383)","50 (117,913)","103 (106,321)","72 (85,961)","92 (25,531)","84 (10,971)",--,"101 (13,452)","189 (13,754)","75 (7,658)","157 (8,459)","196 (6,680)",--
2024/05/02,"34 (20,192,543)","27 (7,637,305)","7 (3,056,488)","10 (1,533,274)","9 (1,632,248)","17 (941,547)","6 (464,419)","120 (703,590)","80 (262,993)","17 (291,050)","14 (220,792)","45 (225,187)","50 (172,838)","92 (113,151)","49 (109,976)","102 (95,762)","79 (79,809)","103 (24,060)","76 (10,392)",--,"106 (13,022)",--,"73 (7,580)","186 (8,251)",--,--
2024/05/09,"34 (19,268,907)","25 (7,297,498)","9 (2,930,654)","12 (1,490,709)","11 (1,570,426)","18 (921,324)","8 (433,537)","130 (652,619)","89 (236,775)","18 (279,799)","14 (214,585)","55 (187,046)","70 (147,999)","93 (105,964)","63 (103,029)","114 (95,714)","84 (74,358)","112 (24,261)","93 (9,869)",--,"137 (11,874)",--,"90 (6,702)",--,--,--
2024/05/16,"34 (18,619,219)","24 (7,132,222)","10 (2,822,829)","11 (1,457,568)","11 (1,570,096)","26 (841,083)","12 (405,780)","165 (621,252)","128 (217,056)","27 (262,161)","15 (208,286)","63 (171,762)","73 (136,093)","101 (105,513)","76 (98,855)","126 (94,164)","105 (71,696)","137 (21,657)","108 (9,653)",--,"178 (11,102)",--,"101 (7,060)",--,--,--
2024/05/23,"43 (18,195,118)","25 (7,222,564)","12 (2,711,740)","13 (1,400,520)","16 (1,501,665)","37 (710,762)","10 (390,119)","186 (577,687)","125 (219,230)","40 (239,865)","22 (199,083)","77 (148,913)","83 (130,047)","105 (106,155)","81 (96,517)","130 (94,369)","114 (68,700)","143 (21,360)","114 (9,477)",--,"176 (11,292)",--,"106 (6,663)",--,--,--
