rank,ID,title,artist,streams
213,6pyIRpxFSGo6iYIwRtj4xG,The Christmas Song (Chestnuts Roasting On an Open Fire),Mel Tormé,984203.0
214,3ma7iAKJCYYIkNEjAmIyBA,Being Alone At Christmas,Miss Montreal,961642.0
215,5xjj2WjQVC4Ar8UNIvSUiL,Every Day's Like Christmas,Kylie Minogue,948992.0
216,4IfAArwYrxwGvwSHMGPRFi,Snowfall on Christmas Eve,The Rossman Ensemble,947390.0
217,2rDeOU9Y1xRvvIhaqHEoxW,The Christmas Song (Chestnuts Roasting on an Open Fire),Michael Bublé,946051.0
218,4FJscysNlC9Z7zXYWSTZ01,Someday At Christmas,Joy Denalane,939066.0
219,0Xrev0e2wVRSkq84SJiEMg,We Wish You A Merry Christmas,"John Denver, The Muppets",919789.0
220,6pPLhUHaxNy37eIUNYu5JL,One Wish (For Christmas),Whitney Houston,897707.0
221,6JUnflvdkYvbzsp6zWpaCZ,What Christmas Means to Me (feat. Stevie Wonder),John Legend,890969.0
222,7jBePLCZlKuEUc3rSc6izU,Can't Stop Christmas,Robbie Williams,884170.0
223,3S912b5gdxMeZyGeNEgS0H,I Believe in Father Christmas - 2017 - Remaster,Greg Lake,868768.0
224,7o8OevWP4oIwCQyWuWZblH,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",Il Volo,863048.0
225,4eQvrHRAG4WoGYFNe3pCLu,All Alone on Christmas,Darlene Love,859357.0
226,60PSJ6HacgXkes5GB72VRr,One Wish for Christmas,Wiktoria,831151.0
227,1EUH2udRB02nwscTwBeS9S,Have Yourself A Merry Little Christmas,Ella Fitzgerald,784514.0
228,0j55I9vHZzI6x6yqrSJQ7M,Please Come Home for Christmas,Charles Brown,784350.0
229,4XPuSGGbpmaeoim4Uy5pSY,"Weihnachtsoratorium, BWV 248: Part I: For the First Day of Christmas: 1. Chorus: Jauchzet, frohlocket","Johann Sebastian Bach, Nikolaus Harnoncourt",781713.0
230,3ZBI7OtSROoZ7GIwSJyq0L,It's Christmas Time Again,Backstreet Boys,770207.0
231,7LxsehOTDXTpsuWAMWXe9o,White Christmas,Otis Redding,753112.0
232,34kSAsvs36tXZ8DaiBphUG,Last Christmas,Carly Rae Jepsen,750816.0
233,643hxdYRXr218f8SxC8kw1,A Christmas Night To Remember,The Mamas,750135.0
234,6tUMdozpJETJYMjbk54LjA,Christmas Dream,Andreas Weise,748388.0
235,0NLV6yzZjNYIGkWcEH7qhN,It's Christmas Time (with Michael Bolton),Matoma,742196.0
236,2X5noCM9Klrm4zXfyyPdRN,Someday At Christmas,Stevie Wonder,735944.0
237,1PrA3DUESsafXvaYp9OZ3P,The Christmas Song,Gregory Porter,729182.0
238,2Vfm43BaQcTY55P6R9WvRe,The Christmas List,Peggy Lee,721176.0
239,2VThv8sbANBptTmz5vNtqJ,Christmas Dream,Perry Como,721043.0
240,7FNsGGAGyMoSwjH3ivmcep,This Christmas,Oh Wonder,718270.0
241,3sBnSBnzpEYKpJYGsAIbup,Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,717316.0
